"Date";"Valeurs"
"01/11/2018";3503.26
"02/11/2018";3521.93
"05/11/2018";3508.34
"06/11/2018";3498.06
"07/11/2018";3561.87
"08/11/2018";3552.23
"09/11/2018";3556.31
"12/11/2018";3523.71
"13/11/2018";3548.61
"14/11/2018";3538.83
"15/11/2018";3526.18
"16/11/2018";3529.82
"19/11/2018";3503.4
"20/11/2018";3430.47
"21/11/2018";3471.36
"22/11/2018";3426.89
"23/11/2018";3441.43
"26/11/2018";3475.27
"27/11/2018";3484.43
"28/11/2018";3474
"29/11/2018";3491.99
"30/11/2018";3487.9
"03/12/2018";3526.67
"04/12/2018";3482.91
"05/12/2018";3442.56
"06/12/2018";3324.8
"07/12/2018";3344.59
"10/12/2018";3286.92
"11/12/2018";3334.79
"12/12/2018";3401.24
"13/12/2018";3401.22
"14/12/2018";3384.29
"17/12/2018";3331.26
"18/12/2018";3316.68
"19/12/2018";3326.84
"20/12/2018";3247.47
"21/12/2018";3240.98
"24/12/2018";3210.08
"27/12/2018";3164.98
"28/12/2018";3209
"31/12/2018";3243.63
"02/01/2019";3223.14
"03/01/2019";3221.5
"04/01/2019";3317.05
"07/01/2019";3340.78
"08/01/2019";3382.97
"09/01/2019";3404.26
"10/01/2019";3413.16
"11/01/2019";3411.73
"14/01/2019";3394.55
"15/01/2019";3422
"16/01/2019";3446.97
"17/01/2019";3429.72
"18/01/2019";3483.48
"21/01/2019";3465.29
"22/01/2019";3449.2
"23/01/2019";3457.39
"24/01/2019";3458.28
"25/01/2019";3496.96
"28/01/2019";3466.66
"29/01/2019";3477.6
"30/01/2019";3488.4
"31/01/2019";3491.62
"01/02/2019";3507.84
"04/02/2019";3506.82
"05/02/2019";3559.27
"06/02/2019";3577.77
"07/02/2019";3514.1
"08/02/2019";3473.73
"11/02/2019";3496.38
"12/02/2019";3526.94
"13/02/2019";3535.15
"14/02/2019";3520.9
"15/02/2019";3567.98
"18/02/2019";3593.4
"19/02/2019";3585.48
"20/02/2019";3615.86
"21/02/2019";3586.15
"22/02/2019";3572.82
"25/02/2019";3587.52
"26/02/2019";3604.8
"27/02/2019";3595.61
"28/02/2019";3604.48
"01/03/2019";3644.14
"04/03/2019";3642.13
"05/03/2019";3641.14
"06/03/2019";3605.8
"07/03/2019";3573.23
"08/03/2019";3536.61
"11/03/2019";3568.87
"12/03/2019";3579.58
"13/03/2019";3597.41
"14/03/2019";3609.64
"15/03/2019";3640.26
"18/03/2019";3660.8
"19/03/2019";3688.49
"20/03/2019";3655.64
"21/03/2019";3654.66
"22/03/2019";3588.73
"25/03/2019";3560.68
"26/03/2019";3591.57
"27/03/2019";3614.57
"28/03/2019";3601.07
"29/03/2019";3658.72
"01/04/2019";3713.6
"02/04/2019";3736.78
"03/04/2019";3772.7
"04/04/2019";3782.22
"05/04/2019";3805.39
"08/04/2019";3793.08
"09/04/2019";3790.21
"10/04/2019";3778.3
"11/04/2019";3807.74
"12/04/2019";3845.05
"15/04/2019";3846.78
"16/04/2019";3860.17
"17/04/2019";3846.82
"18/04/2019";3852.3
"23/04/2019";3806.98
"24/04/2019";3752.2
"25/04/2019";3713.72
"26/04/2019";3727.62
"29/04/2019";3737.82
"30/04/2019";3743.67
"02/05/2019";3718.03
"03/05/2019";3715.37
"06/05/2019";3681.8
"07/05/2019";3595.96
"08/05/2019";3574.86
"09/05/2019";3492.39
"10/05/2019";3504.03
"13/05/2019";3452.17
"14/05/2019";3495.15
"15/05/2019";3493.82
"16/05/2019";3544.18
"17/05/2019";3511.46
"20/05/2019";3476.49
"21/05/2019";3494.94
"22/05/2019";3488.75
"23/05/2019";3445.09
"24/05/2019";3472.34
"27/05/2019";3474.83
"28/05/2019";3488.32
"29/05/2019";3432.61
"30/05/2019";3455.5
"31/05/2019";3427.18
"03/06/2019";3420.05
"04/06/2019";3458.39
"05/06/2019";3454.5
"06/06/2019";3440.37
"07/06/2019";3457.47
"10/06/2019";3483.96
"11/06/2019";3516.28
"12/06/2019";3500.78
"13/06/2019";3492.15
"14/06/2019";3463.71
"17/06/2019";3450.81
"18/06/2019";3513.07
"19/06/2019";3525.56
"20/06/2019";3518.52
"21/06/2019";3505.48
"24/06/2019";3498.32
"25/06/2019";3498.23
"26/06/2019";3497.32
"27/06/2019";3513.47
"28/06/2019";3547.46
"01/07/2019";3578.14
"02/07/2019";3596.79
"03/07/2019";3641.23
"04/07/2019";3657.65
"05/07/2019";3643.73
"08/07/2019";3608.59
"09/07/2019";3587.91
"10/07/2019";3589.73
"11/07/2019";3571.13
"12/07/2019";3578.37
"15/07/2019";3622.64
"16/07/2019";3649.64
"17/07/2019";3626.13
"18/07/2019";3620.71
"19/07/2019";3652.42
"22/07/2019";3680.49
"23/07/2019";3723.58
"24/07/2019";3726.47
"25/07/2019";3735.16
"26/07/2019";3735.95
"29/07/2019";3735.36
"30/07/2019";3673.09
"31/07/2019";3701.43
"01/08/2019";3729.97
"02/08/2019";3613
"05/08/2019";3525.89
"06/08/2019";3505.49
"07/08/2019";3526.05
"08/08/2019";3574.42
"09/08/2019";3534.57
"12/08/2019";3507.31
"13/08/2019";3519.2
"14/08/2019";3454.2
"15/08/2019";3443.34
"16/08/2019";3498.39
"19/08/2019";3522.42
"20/08/2019";3488.17
"21/08/2019";3525.25
"22/08/2019";3510.11
"23/08/2019";3479.2
"26/08/2019";3487.04
"27/08/2019";3502.19
"28/08/2019";3490.82
"29/08/2019";3526.12
"30/08/2019";3570.81
"02/09/2019";3573.3
"03/09/2019";3562.43
"04/09/2019";3588.53
"05/09/2019";3619.54
"06/09/2019";3617.11
"09/09/2019";3647.75
"10/09/2019";3663.66
"11/09/2019";3677.36
"12/09/2019";3697.66
"13/09/2019";3730.24
"16/09/2019";3700.19
"17/09/2019";3690.84
"18/09/2019";3680.09
"19/09/2019";3705.62
"20/09/2019";3738.72
"23/09/2019";3693.47
"24/09/2019";3678.16
"25/09/2019";3678.88
"26/09/2019";3697.73
"27/09/2019";3712.08
"30/09/2019";3714.42
"01/10/2019";3666.14
"02/10/2019";3566.37
"03/10/2019";3574.76
"04/10/2019";3610.64
"07/10/2019";3628.92
"08/10/2019";3592.12
"09/10/2019";3607.55
"10/10/2019";3657.77
"11/10/2019";3727.92
"14/10/2019";3713.56
"15/10/2019";3757.24
"16/10/2019";3761.02
"17/10/2019";3776.41
"18/10/2019";3757.78
"21/10/2019";3784.04
"22/10/2019";3768.48
"23/10/2019";3760.28
"24/10/2019";3791.66
"25/10/2019";3752.35
"28/10/2019";3770.84
"29/10/2019";3763.93
"30/10/2019";3767.32
"31/10/2019";3763.25
"01/11/2019";3794.8
"04/11/2019";3829.2
"05/11/2019";3851.87
"06/11/2019";3859.71
"07/11/2019";3878.14
"08/11/2019";3876.94
"11/11/2019";3868.27
"12/11/2019";3898.48
"13/11/2019";3878.37
"14/11/2019";3870.27
"15/11/2019";3894.25
"18/11/2019";3905.52
"19/11/2019";3897.44
"20/11/2019";3896.19
"21/11/2019";3873.93
"22/11/2019";3878.93
"25/11/2019";3902.93
"26/11/2019";3904.31
"27/11/2019";3912.38
"28/11/2019";3914.86
"29/11/2019";3906.68
"02/12/2019";3864.11
"03/12/2019";3841.33
"04/12/2019";3889.41
"05/12/2019";3887.14
"06/12/2019";3929.05
"09/12/2019";3942.51
"10/12/2019";3927.63
"11/12/2019";3920.85
"12/12/2019";3931.65
"13/12/2019";3936.1
"16/12/2019";3977.89
"17/12/2019";3963.81
"18/12/2019";3967.68
"19/12/2019";3985.29
"20/12/2019";3992.93
"23/12/2019";3989.61
"24/12/2019";3992.13
"27/12/2019";3996.35
"30/12/2019";3967.18
"31/12/2019";3955.83
"02/01/2020";4015.93
"03/01/2020";3994.61
"06/01/2020";3971.78
"07/01/2020";3984.73
"08/01/2020";3980.69
"09/01/2020";4013.98
"10/01/2020";4009.88
"13/01/2020";3984.58
"14/01/2020";3990.63
"15/01/2020";3970.72
"16/01/2020";3987.78
"17/01/2020";4007.2
"20/01/2020";4012.67
"21/01/2020";4018.85
"22/01/2020";4015.71
"23/01/2020";3978.3
"24/01/2020";4002.84
"27/01/2020";3903.5
"28/01/2020";3956.11
"29/01/2020";3965.01
"30/01/2020";3927.86
"31/01/2020";3907.61
"03/02/2020";3929.27
"04/02/2020";4039.92
"05/02/2020";4103.04
"06/02/2020";4140.23
"07/02/2020";4095.2
"10/02/2020";4101.8
"11/02/2020";4152.3
"12/02/2020";4184.27
"13/02/2020";4182.78
"14/02/2020";4185.44
"17/02/2020";4198.31
"18/02/2020";4164.5
"19/02/2020";4139.26
"20/02/2020";4119.04
"21/02/2020";4078.44
"24/02/2020";3917.64
"25/02/2020";3828.4
"26/02/2020";3830.34
"27/02/2020";3639.51
"28/02/2020";3488.6
"02/03/2020";3523.24
"03/03/2020";3575.13
"04/03/2020";3597.98
"05/03/2020";3544.83
"06/03/2020";3435.09
"09/03/2020";3174.81
"10/03/2020";3155.6
"11/03/2020";3148.41
"12/03/2020";2701
"13/03/2020";2732.8
"16/03/2020";2535.58
"17/03/2020";2528.77
"18/03/2020";2576.21
"19/03/2020";2636.02
"20/03/2020";2771.49
"23/03/2020";2664.1
"24/03/2020";2867.59
"25/03/2020";2919.65
"26/03/2020";3004.43
"27/03/2020";2862.79
"30/03/2020";2826.94
"31/03/2020";2901.58
"01/04/2020";2839.42
"02/04/2020";2895.4
"03/04/2020";2857.05
"06/04/2020";2969.8
"07/04/2020";3033.57
"08/04/2020";3055.32
"09/04/2020";3092.39
"14/04/2020";3057.66
"15/04/2020";2920.82
"16/04/2020";2925.16
"17/04/2020";3015.41
"20/04/2020";3021.85
"21/04/2020";2908.09
"22/04/2020";2950.37
"23/04/2020";3017.76
"24/04/2020";2942.98
"27/04/2020";3036.44
"28/04/2020";3121.32
"29/04/2020";3196.12
"30/04/2020";3099.12
"04/05/2020";2952.22
"05/05/2020";3006.29
"06/05/2020";2998.46
"07/05/2020";3052.55
"08/05/2020";3058.66
"11/05/2020";3060
"12/05/2020";3067.8
